No,事業者・サービス名,種別,国・地域,X アカウント,業種,代表的な投稿スタイル・内容,戦術・キャンペーン,X上の反響(インプ/エンゲージメント),売上・ビジネスへの影響,データ種別,出典・参考
11,Marketing Examples (Harry Dry),Solopreneur,イギリス,@harrydry,マーケティングメディア,"短いコピーライティング事例を1ツイート=1ケースで紹介。before/after画像つき","ニュースレター登録への導線(無料)","フォロワー約20万。ケース投稿で平均10万〜50万インプ","ニュースレター登録者15万人超(公表)","公開(本人発表)","marketingexamples.com"
12,Late Checkout / Boring Marketer (Greg Isenberg),Solopreneur→Studio,アメリカ,@gregisenberg,スタジオ・コミュニティ,"『$1M Twitter ideas』式のスタートアップアイデア出し。リプライ欄でファネル化","X上で公開壁打ち→コミュニティ送客","フォロワー約60万。アイデア投稿で平均20万〜100万インプ","Late Checkout Studio 年商複数百万ドル規模(本人発言)","公開発言+推定","@gregisenberg ポッドキャスト"
13,Starter Story (Pat Walls),Solopreneur→中小,アメリカ,@thepatwalls,メディア,"『$Xk/月稼ぐ起業家』のミニケースを毎日投稿。本人写真+数字の組み合わせ","ストーリー閲覧→有料メンバーシップ($199/年)","フォロワー約30万。ケース紹介で5万〜50万インプ","Starter Story 年商$1M+(本人公表)","公開(本人発表)","starterstory.com"
14,Kit (旧ConvertKit / Nathan Barry),中小→大企業,アメリカ,@nathanbarry,SaaS(メール配信),"『Teach Everything You Know』姿勢で経営数字・社内施策をオープン","オープン社内ダッシュボード+創業者の人格でブランディング","フォロワー約12万。月次収益投稿で5万〜20万インプ","Kit ARR$40M+(2024 公表)","公開(社是『Open Company』)","nathanbarry.com"
15,The Rundown AI (Rowan Cheung),Solopreneur,アメリカ,@rowancheung,AIニュースレター,"AI界隈のニュースを画像+短文で速報。ローンチ動画の連投で被リーチ最大化","X速報→無料ニュースレター登録","フォロワー約25万。AI速報投稿で50万〜数百万インプ","ニュースレター購読者60万人超・年商$2M+(報道ベース)","公開(報道)+推定","Forbes / Bloomberg報道"
16,Founder OS (Matt Gray),Solopreneur,アメリカ,@matt_gray_,コース・コミュニティ,"『$X/dayの収益グラフ』『1ツイート=1メソッド』を量産","コンテンツ→コース($1k+)への直接導線","フォロワー約100万。リスト型投稿で20万〜100万インプ","Founder OS 月商 $400k超(本人公表)","公開(本人発表)","@matt_gray_ 月次レポ"
17,Indie Hackers系 / IndieMaker (Pieter Levels等の総称ケース),Solopreneur,各国,各種,SaaS,"『Stripe通知のスクショ』『今日の作業ログ』をリアルタイム共有する文化全般","Build in Public ムーブメント自体がXからの送客装置","タグ #buildinpublic で年間数十億インプ規模","Indie Hackers全体で1人事業からのMRR $1k〜$100kケース多数","推定(コミュニティ集計)","Indie Hackers / Tinyseed 公開データ"
18,DTC・小規模ブランド: Magic Spoon (シリアル),中小,アメリカ,@magicspoon,D2Cシリアル,"インフルエンサー(Joe Rogan等)言及をRT・引用、低糖質訴求のミーム画像","Twitter発の口コミ+ポッドキャスト連動","フォロワー約3万(小さいが転換率高)","ローンチ初日$250k売上、後にARR$50M超に成長(報道)","公開(報道)","Forbes / TechCrunch記事"
19,DTC・小規模ブランド: Liquid Death (水),中小→大企業,アメリカ,@LiquidDeath,飲料,"『Murder Your Thirst』のホラー風ビジュアル投稿。ファン参加型ミーム公募","X上のミーム公募・ヘビメタ系コラボ","フォロワー約15万。代表投稿で100万〜数百万インプ","年商2023年に$263M(報道)、2024年バリュエーション $1.4B","公開(報道)","Forbes / Liquid Death公式"
20,DTC・小規模ブランド: Cards Against Humanity,中小,アメリカ,@CAH,ボードゲーム,"皮肉・ブラックジョーク投稿、年末の奇抜キャンペーン告知をX中心に展開","X発のスタント(『$100kの穴を掘る』等)","フォロワー約65万。代表スタント投稿で数百万インプ","年商推定$50M超(非公開・報道ベース)","推定(非公開企業)","Bloomberg / WSJ記事"
21,Wendy's,大企業,アメリカ,@Wendys,ファストフード,"競合McDonald's・Burger Kingを名指しで『ロースト(毒舌返信)』する人格運用","Twitter人格化『#NationalRoastDay』","フォロワー約400万。代表ロースト投稿で100万〜1000万インプ","2017年売上$130M増(前年比+49.7%四半期成長、Twitter効果と分析)","公開(IR)+推定(寄与度)","Wendy's 2017 IR / AdWeek"
22,Duolingo,大企業,アメリカ,@duolingo,言語学習アプリ,"マスコット『Duo』が踊る・死ぬ・恋する短尺動画。社内インターン主導","『Duo死亡』キャンペーン(2024)等の話題化","フォロワー約100万・TikTok連動で1投稿数千万インプ","2024年Q1 DAU+54%、株価年間2倍超。MAU 9700万人(IR)","公開(IR)+推定(SNS寄与)","Duolingo 2024 Q1決算"
23,Ryanair,大企業,アイルランド,@Ryanair,LCC航空,"乗客クレームに対する辛辣で毒舌な返信を画像コラージュ付きで投稿","クレームを公開で笑い飛ばすブランド人格","フォロワー約190万。代表返信で50万〜500万インプ","2023通期 純利益€1.43Bで過去最高(IR)。SNS運用が認知度トップに寄与","公開(IR)+推定(SNS寄与)","Ryanair 2023 通期決算"
24,Coca-Cola『Share a Coke』,大企業,グローバル,@CocaCola,飲料,"ボトルに名前を印刷、UGCをX/Instagramで募集・RT。#ShareACoke ハッシュタグ","UGCキャンペーン(2011豪州→2014米国)","Twitterで50万件以上の投稿、500k+のソーシャル言及","2014年米国売上 11年ぶりに+2%、ティーンへの好感度+7%","公開(Coca-Cola Press)","Coca-Cola 2014 Press Release / WSJ"
25,Oreo『Dunk in the Dark』,大企業,アメリカ,@Oreo,菓子,"2013 Super Bowl 停電中『You can still dunk in the dark』を即興投稿","リアルタイム・モーメントマーケティング","当時1時間で1.5万RT・2万いいね、メディア露出$10M相当の試算","ブランドエンゲージメント急増。フォロワー数日で+8000人","公開(360i事例)","Wired / 360i ケーススタディ"
